AreaCode,AreaName,AreaType
S01008793,South Leith - 02,Data Zones
S01008794,South Leith - 03,Data Zones
S01008792,South Leith - 01,Data Zones
S01008782,The Shore and Constitution Street - 05,Data Zones
S01008783,The Shore and Constitution Street - 06,Data Zones
S01008780,The Shore and Constitution Street - 03,Data Zones
S01008781,The Shore and Constitution Street - 04,Data Zones
S01008785,Great Junction Street - 01,Data Zones
S01008786,Great Junction Street - 02,Data Zones
S01008784,The Shore and Constitution Street - 07,Data Zones
S01008863,Stockbridge - 07,Data Zones
S01008864,Comely Bank - 01,Data Zones
S01008861,Stockbridge - 05,Data Zones
S01008862,Stockbridge - 06,Data Zones
S01008867,Comely Bank - 04,Data Zones
S01008868,Deans Village - 01,Data Zones
S01008865,Comely Bank - 02,Data Zones
S01008866,Comely Bank - 03,Data Zones
S01008856,Canonmills and New Town North - 04,Data Zones
S01008857,Stockbridge - 01,Data Zones
S01008854,Canonmills and New Town North - 02,Data Zones
S01008855,Canonmills and New Town North - 03,Data Zones
S01008859,Stockbridge - 03,Data Zones
S01008860,Stockbridge - 04,Data Zones
S01008858,Stockbridge - 02,Data Zones
S01008878,Balgreen and Roseburn - 04,Data Zones
S01008879,Balgreen and Roseburn - 05,Data Zones
S01008876,Balgreen and Roseburn - 02,Data Zones
S01008877,Balgreen and Roseburn - 03,Data Zones
S01008882,Murrayfield and Ravelston - 02,Data Zones
S01008883,Murrayfield and Ravelston - 03,Data Zones
S01008880,Balgreen and Roseburn - 06,Data Zones
S01008881,Murrayfield and Ravelston - 01,Data Zones
S01008871,Deans Village - 04,Data Zones
S01008872,Deans Village - 05,Data Zones
S01008869,Deans Village - 02,Data Zones
S01008870,Deans Village - 03,Data Zones
S01008874,Deans Village - 07,Data Zones
S01008875,Balgreen and Roseburn - 01,Data Zones
S01008873,Deans Village - 06,Data Zones
S01008834,"Inverleith, Goldenacre and Warriston - 03",Data Zones
S01008835,"Inverleith, Goldenacre and Warriston - 04",Data Zones
S01008832,"Inverleith, Goldenacre and Warriston - 01",Data Zones
S01008833,"Inverleith, Goldenacre and Warriston - 02",Data Zones
S01008838,Broughton North and Powderhall - 03,Data Zones
S01008839,Broughton North and Powderhall - 04,Data Zones
S01008836,Broughton North and Powderhall - 01,Data Zones
S01008837,Broughton North and Powderhall - 02,Data Zones
S01008827,Trinity - 02,Data Zones
S01008828,Trinity - 03,Data Zones
S01008825,Trinity East and The Dudleys - 05,Data Zones
S01008826,Trinity - 01,Data Zones
S01008830,Trinity - 05,Data Zones
S01008831,Trinity - 06,Data Zones
S01008829,Trinity - 04,Data Zones
